binary_package	binary_version	source_package	source_version
libss2	1.47.0-2+b2	e2fsprogs	1.47.0-2
libssh2-1	1.10.0-3+b1	libssh2	1.10.0-3
libssl-dev	3.0.19-1~deb12u2	openssl	3.0.19-1~deb12u2
libssl3	3.0.19-1~deb12u2	openssl	3.0.19-1~deb12u2
libstdc++-12-dev	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libstdc++6	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libsybdb5	1.3.17+ds-2	freetds	1.3.17+ds-2
libsystemd-shared	252.39-1~deb12u1	systemd	252.39-1~deb12u1
libsystemd0	252.39-1~deb12u1	systemd	252.39-1~deb12u1
libtasn1-6	4.19.0-2+deb12u1	libtasn1-6	4.19.0-2+deb12u1
libthai-dev	0.1.29-1	libthai	0.1.29-1
libthai0	0.1.29-1	libthai	0.1.29-1
libtiff-dev	4.5.0-6+deb12u4	tiff	4.5.0-6+deb12u4
libtiff6	4.5.0-6+deb12u4	tiff	4.5.0-6+deb12u4
libtiffxx6	4.5.0-6+deb12u4	tiff	4.5.0-6+deb12u4
libtinfo6	6.4-4	ncurses	6.4-4
libtirpc-dev	1.3.3+ds-1	libtirpc	1.3.3+ds-1
libtirpc3	1.3.3+ds-1	libtirpc	1.3.3+ds-1
libtommath1	1.2.0-6+deb12u1	libtommath	1.2.0-6+deb12u1
libubsan1	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libuchardet0	0.0.7-1	uchardet	0.0.7-1
libudev-dev	252.39-1~deb12u1	systemd	252.39-1~deb12u1
libudev1	252.39-1~deb12u1	systemd	252.39-1~deb12u1
libunistring2	1.0-2	libunistring	1.0-2
libunity-dev	7.1.4+19.04.20190319-6+b1	libunity	7.1.4+19.04.20190319-6
libunity-protocol-private0	7.1.4+19.04.20190319-6+b1	libunity	7.1.4+19.04.20190319-6
libunity9	7.1.4+19.04.20190319-6+b1	libunity	7.1.4+19.04.20190319-6
libunwind	1:20.1.8~++20250708063551+0c9f909b7976-1~exp1~20250708183702.136	llvm-toolchain-20	1:20.1.8~++20250708063551+0c9f909b7976-1~exp1~20250708183702.136
libunwind-20-dev	1:20.1.8~++20250708063551+0c9f909b7976-1~exp1~20250708183702.136	llvm-toolchain-20	1:20.1.8~++20250708063551+0c9f909b7976-1~exp1~20250708183702.136
libuuid1	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libuv1	1.44.2-1+deb12u1	libuv1	1.44.2-1+deb12u1
libvorbis0a	1.3.7-1	libvorbis	1.3.7-1
libvorbisenc2	1.3.7-1	libvorbis	1.3.7-1
libvulkan-dev	1.3.239.0-1	vulkan-loader	1.3.239.0-1
libvulkan1	1.3.239.0-1	vulkan-loader	1.3.239.0-1
libwacom-dev	2.6.0-1	libwacom	2.6.0-1
libwacom9	2.6.0-1	libwacom	2.6.0-1
libwayland-client0	1.21.0-1	wayland	1.21.0-1
libwayland-cursor0	1.21.0-1	wayland	1.21.0-1
